year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,76061200,India,India,11275959.64,17858438.23,1316348.75
2016,69089000,India,India,15509839.13,23267226.31,1503173.88
2016,84314300,China,China,5535243.28,10199169.91,717048.71
2016,87042110,Japan,United Arab Emirates,12826310.56,24547163.78,1709457.99
2016,54076900,India,India,8541876.39,4664459.04,605614.48
2016,74091900,Italy,Italy,4803030.72,32640.42,221129.34
2016,40131000,"Korea, Republic of","Korea, Republic of",11090313.65,19478544.49,1389234.07
2016,39264000,China,China,785141.15,6754440.22,341945.37
2016,73045100,China,China,2685568.8,4949502.74,341175.1
2016,33074100,India,India,12918981.67,23703698.22,1657598.74
2016,84518000,China,China,2957966.6,35014606.19,1728224.54
2016,82159900,China,China,27787935.96,17107293.84,2019495.67
2016,85013100,Germany,Germany,261785.69,5294770.9,254756.6
2016,85016200,United States,France,297639.66,17383325.78,813950.33
2016,62143000,India,India,11524822.78,3078029.77,667420.19
2016,54076900,"Taiwan, Province of China","Taiwan, Province of China",6695266.82,3678204.05,473849.84
2016,61152900,China,China,17672592.24,26856586.03,2029227.08
2016,15121910,Egypt,Egypt,12950660.58,8122517.61,938142.45
2016,10059000,Argentina,Argentina,12251143.06,12010720.69,1057169.59
2016,84042000,China,China,4650110.99,89719.91,216150.53
2016,84749000,China,China,46499478.25,61676786.7,4916020.05
2016,39259000,China,China,21718783.68,25663400.71,2129173.45
2016,34011110,Indonesia,Indonesia,19015083.42,16978014.59,1617030.41
2016,39181090,India,India,13916993.85,18680327.82,1423811.88
2016,39072000,Thailand,Thailand,55024172.01,28778248.41,3692162.47
2016,84596900,China,Germany,4694497.18,13001.11,216321.87
2016,72105000,China,China,17344301.71,15765496.03,1461397.4
2016,11010000,Egypt,Djibouti,1852940.93,5073082.76,289199.65
2016,84238200,Italy,Italy,21125136.72,4016366.26,1149211.7
2016,39232990,United Arab Emirates,United Arab Emirates,18675397.88,6597999.89,1145460.55
2016,84283900,China,China,139571725.56,89157244.69,10451996.48
2016,73170000,China,China,16365729.78,44093941.1,2651217.67
2016,29291000,"Korea, Republic of","Korea, Republic of",15758275.61,22735617.37,1726704.28
2016,96081000,China,China,15056272.99,17698211.82,1490148.35
2016,84622100,India,India,41710.0,4383951.79,201819.89
2016,55131300,Thailand,Thailand,2320.0,4342823.28,199926.49
2016,39021000,China,United Arab Emirates,128000.0,4332982.48,199473.46
2016,94055020,China,Kenya,5927.0,4319039.99,198831.6
