year,code,destination,net_mass,fob_etb,fob_usd
2016,12079990,Germany,1337715.0,33311539.48,1533532.21
2016,9011100,Singapore,99540.0,11188421.38,515070.89
2016,7132000,Sudan,1152000.0,18436490.27,848743.45
2016,9011100,"Taiwan, Province of China",1182450.0,127644859.59,5876267.0
2016,26159000,China,119939.83,97158576.42,4472798.52
2016,9103000,United Arab Emirates,198500.0,3682814.36,169542.28
2016,9041200,Sudan,730677.0,48968121.85,2254299.64
2016,8039000,Somalia,4668409.0,24427380.08,1124540.43
2016,19059020,Sweden,365765.6,13293258.46,611969.3
2016,13019000,United Arab Emirates,61150.0,6734236.56,310017.74
2016,9011100,Spain,1813600.0,196264266.72,9035234.46
2016,41120000,India,125730.5,49916242.63,2297947.38
2016,12074090,Netherlands,855000.0,28389388.03,1306935.7
2016,20089900,United Arab Emirates,16575.86,19156654.28,881896.98
2016,52053200,Turkey,73082.6,3376773.99,155453.38
2016,25232900,Somalia,14005000.0,21305879.2,980838.84
2016,7129090,Russian Federation,147008.45,9630397.48,443345.6
2016,12074090,United Arab Emirates,3096855.73,67938198.96,3127607.32
2016,15219020,Italy,18151.0,3338351.36,153684.56
2016,12119000,Netherlands,114662.0,10263976.77,472513.09
2016,62104000,Italy,12376.16,6661715.67,306679.17
2016,30023000,Senegal,9604.0,6607864.22,304200.06
2016,41120000,Viet Nam,26244.0,28490217.1,1311577.48
2016,7061000,Somalia,3081141.0,13441852.91,618810.02
2016,7051100,Somalia,4692799.0,20422972.09,940193.27
2016,12074090,Viet Nam,3475000.0,80598781.62,3710450.73
2016,9011100,Kuwait,133200.0,7332778.16,337572.24
2016,1041000,Djibouti,227631.0,13224528.43,608805.25
2016,7129090,United States,10036.55,7558482.42,347962.78
2016,9101100,Kenya,58000.0,1912834.76,88059.38
2016,62019900,Germany,897.92,2381708.35,109644.48
2016,64059000,China,8024.0,4345158.92,200034.01
2016,33059000,Sudan,90931.0,5269493.51,242586.74
2016,12074090,Palestine,228000.0,5215305.06,240092.12
2016,64032000,United States,10210.6,3289353.77,151428.9
2016,39159000,China,1771300.0,12021844.82,553438.42
2016,9011100,Ireland,57600.0,5310406.63,244470.22
2016,7133300,Romania,120000.0,1431662.39,65908.1
2016,12119000,Belgium,28584.0,3410240.61,156994.07
2016,55093100,Kenya,11900.0,1114445.94,51304.71
2016,85444200,Somalia,12345.0,1073047.98,49398.91
2016,9011100,Albania,19200.0,1055889.33,48608.99
2016,13019000,Algeria,23700.0,2737945.12,126044.22
2016,26179000,China,22985.0,980112.56,45120.53
2016,9041200,United States,104657.0,12440713.23,572721.47
2016,9093100,Indonesia,330000.0,25776031.33,1186627.04
2016,61071900,United States,220858.58,12976851.18,597403.15
2016,7133300,Sri Lanka,168000.0,2072438.52,95406.91
2016,39269090,Italy,792060.5,8285944.79,381452.29
2016,61109000,United States,150711.19,16099325.81,741149.59
2016,12119000,Germany,79569.2,3642368.48,167680.31
2016,40040000,China,588000.0,3814139.7,175587.99
2016,5040000,Viet Nam,232000.0,8677094.56,399459.29
2016,7019000,Djibouti,4495660.0,9914963.22,456445.89
2016,61082100,Germany,20204.15,7001268.31,322310.84
2016,41120000,Hungary,5189.0,7180631.51,330568.01
2016,6031100,United States,163630.55,13867616.63,638410.49
2016,68041000,Denmark,474363.0,10294627.99,473924.16
2016,61091000,Germany,98294.92,25891313.5,1191934.2
2016,61034900,United States,37131.65,7564525.12,348240.96
2016,6031100,South Africa,134265.81,11289999.08,519747.12
2016,13019000,Germany,123187.0,16292887.05,750060.4
2016,61119000,United States,93279.7,9780078.9,450236.35
2016,40170000,Sudan,806650.0,6912850.21,318240.42
2016,7133300,Netherlands,2352850.0,26501836.59,1220040.27
2016,9041200,Sweden,42418.0,5326042.12,245190.02
2016,85171200,Togo,54330.76,53459825.76,2461079.99
2016,54076900,"Iran, Islamic Republic of",321513.5,21784836.03,1002888.13
2016,64051000,Canada,14254.75,6615611.14,304556.71
2016,6031100,Italy,72243.68,6104969.27,281048.76
2016,7129090,China,7952.26,6011072.56,276726.14
2016,19041000,United States,62521.0,7292978.3,335740.02
2016,58021100,United States,14792.1,2399914.36,110482.61
2016,9011100,South Africa,579600.0,56261744.96,2590069.33
2016,7133300,Puerto Rico,360000.0,4914107.96,226226.2
2016,5069000,United States,270.0,3268749.09,150480.35
2016,71179010,United States,1311.65,5870399.77,270250.1
2016,2061000,Viet Nam,110460.0,8735166.77,402132.71
2016,41071900,India,18315.71,3511054.82,161635.15
2016,7133300,Bulgaria,1920000.0,23159065.35,1066152.23
2016,7129090,United Kingdom,121027.78,7004912.85,322478.62
2016,13012000,Germany,60000.0,3520071.0,162050.22
2016,9011100,Lebanon,38400.0,2474680.84,113924.57
2016,13019000,Greece,75957.0,6737875.75,310185.29
2016,6021000,United Kingdom,7616.0,2761968.92,127150.19
2016,61152100,France,3789.5,853666.33,39299.44
2016,19059020,United Kingdom,80185.0,4591647.61,211381.38
2016,25151100,China,103188.0,688572.09,31699.15
2016,9101100,South Africa,500.0,105961.73,4878.06
2016,7082000,Sudan,42000.0,626352.3,28834.79
2016,12092900,Jordan,22000.0,578843.26,26647.67
2016,2042100,Bahrain,53912.5,6802351.77,313153.51
2016,2062900,Viet Nam,220743.76,6486067.04,298593.0
2016,8101000,Netherlands,39000.0,1852476.26,85280.72
2016,12019000,Sri Lanka,506000.0,4503536.27,207325.09
2016,6031100,France,79283.13,6646852.02,305994.91
2016,8051000,Djibouti,1177339.0,12171014.62,560305.61
2016,52051100,China,114004.1,5335677.53,245633.59
2016,6031900,Germany,87130.06,7357164.56,338694.89
2016,7051100,Djibouti,1161696.5,4435989.97,204215.52
2016,7129090,Hong Kong,9989.88,7620696.4,350826.87
2016,61178000,Sudan,12216.0,5319022.23,244866.85
2016,1042000,Saudi Arabia,56786.0,3204913.16,147541.58
2016,13019000,United States,10991.82,1022117.57,47054.27
2016,9109900,India,50500.0,2728561.44,125612.24
2016,63051000,United States,1389.75,1512395.37,69624.73
2016,20089900,Qatar,14253.47,5605227.62,258042.61
2016,9083100,Israel,9500.0,697777.63,32122.93
2016,22030000,South Sudan,320248.0,6097477.1,280703.85
2016,1022910,Oman,80400.0,3667215.18,168824.16
2016,7129090,Germany,93003.89,4607516.63,212111.93
2016,19059020,Norway,140707.0,8585672.57,395250.58
2016,9109900,Sudan,338862.0,19472975.43,896459.15
2016,2045000,Bahrain,58295.0,7687331.77,353894.51
2016,41071900,Hong Kong,3562.0,747595.8,34416.37
2016,7102900,United Kingdom,32351.0,2066900.59,95151.97
2016,7049000,Djibouti,1450496.0,4679544.8,215427.82
2016,85481000,Somalia,3375410.0,7314604.68,336735.61
2016,61152900,United Kingdom,6950.0,2499175.69,115052.22
2016,6031100,Japan,64855.81,5703732.59,262577.41
2016,19059020,Bahrain,185004.0,6315886.98,290758.58
2016,22011000,United States,61805.0,1069732.39,49246.27
2016,6031900,United Arab Emirates,41433.76,3914980.51,180230.29
2016,61099000,Germany,48658.55,5442180.34,250536.57
2016,7129090,Ghana,845.8,630420.69,29022.08
2016,96020090,Congo,4270.0,2262816.74,104171.18
2016,61099000,United States,227942.61,23737432.46,1092777.95
2016,19059020,Canada,125463.0,6658953.16,306552.01
2016,8039000,Djibouti,1126135.0,4668350.49,214912.48
2016,9011100,Ukraine,150000.0,9104200.61,419121.56
2016,12074090,Lebanon,209000.0,4638579.19,213541.93
2016,7133300,Greece,212000.0,2736844.79,125993.56
2016,7129090,Netherlands,121931.42,5882656.94,270814.38
2016,6031100,Oman,53206.0,4449206.1,204823.94
2016,12079990,Belgium,577500.0,14316377.92,659069.71
2016,7129090,India,25763.11,19756184.18,909496.97
2016,39159000,Somalia,46710.0,101200.01,4658.85
2016,49019900,Kenya,658.0,481580.98,22170.09
2016,12079990,Spain,19000.0,446024.81,20533.23
2016,61082100,United States,14054.55,425127.8,19571.21
2016,41132000,India,948.0,411445.59,18941.34
2016,85045000,Canada,220.0,395939.27,18227.49
2016,1041000,Somalia,95530.0,4250544.87,195678.37
2016,12024200,Djibouti,62818.0,1361079.63,62658.77
2016,7129090,Viet Nam,3998.4,3010317.0,138583.14
2016,19059020,Netherlands,9370.75,538821.07,24805.21
2016,25232100,Somalia,2000925.0,3333261.58,153450.25
2016,6031100,Jordan,32552.44,2715148.04,124994.74
2016,62069000,United Kingdom,15316.2,1696858.99,78116.71
2016,9041200,Norway,8286.0,1995653.6,91872.04
2016,64059000,Italy,7340.5,1108805.26,51045.03
2016,11029000,Sudan,36195.0,1238261.12,57004.67
2016,9041200,Denmark,1140.0,151889.79,6992.41
2016,7129090,Zambia,7801.71,5942077.68,273549.87
2016,9103000,Yemen,135000.0,2609560.57,120133.9
2016,71031000,Thailand,91.07,3925573.75,180717.96
2016,9101100,Somalia,50049.0,1841719.08,84785.5
2016,6031900,Australia,23445.32,3361332.55,154742.53
2016,7129090,Namibia,618.51,460799.76,21213.41
2016,7129090,Congo,860.76,648392.61,29849.45
2016,62063000,United States,16394.8,1903092.33,87610.88
2016,19059020,Kuwait,87315.0,3275821.99,150805.95
2016,62034900,Germany,852.69,854708.59,39347.42
